Time (Months),Probability
0.04201680672268908,928.1999999999988
0.12605042016806722,1023.3999999999986
0.21008403361344538,1261.4000000000003
0.29411764705882354,999.5999999999985
0.3781512605042017,844.8999999999988
0.46218487394957986,785.4000000000004
0.546218487394958,1094.799999999999
0.6302521008403361,856.7999999999988
0.7142857142857144,1106.6999999999991
0.7983193277310925,1070.9999999999989
0.8823529411764707,1047.2
0.9663865546218487,868.7000000000003
1.050420168067227,856.7999999999985
1.134453781512605,952.0000000000001
1.2184873949579833,916.2999999999984
1.3025210084033616,856.8000000000003
1.3865546218487395,761.6000000000005
1.4705882352941178,761.5999999999987
1.554621848739496,809.2000000000004
1.6386554621848741,940.0999999999983
1.7226890756302522,785.4000000000004
1.8067226890756305,809.2000000000004
1.8907563025210086,761.5999999999987
1.9747899159663866,749.7000000000033
2.0588235294117645,713.9999999999987
2.1428571428571432,844.8999999999985
2.226890756302521,618.7999999999989
2.3109243697478994,785.4000000000036
2.3949579831932777,773.4999999999986
2.4789915966386555,809.1999999999986
2.563025210084034,678.3000000000028
2.647058823529412,821.0999999999985
2.73109243697479,785.3999999999986
2.8151260504201683,714.0000000000031
2.8991596638655466,761.5999999999987
2.9831932773109244,761.5999999999987
3.0672268907563027,821.1000000000039
3.151260504201681,690.1999999999988
3.235294117647059,594.999999999999
3.3193277310924376,773.4999999999986
3.4033613445378155,630.7000000000024
3.4873949579831933,606.899999999999
3.571428571428572,702.0999999999988
3.65546218487395,714.0000000000031
3.7394957983193278,690.1999999999988
3.8235294117647065,535.4999999999991
3.9075630252100844,702.100000000003
3.991596638655462,630.7000000000024
4.07563025210084,666.3999999999947
4.159663865546219,618.8000000000023
4.2436974789915975,559.299999999996
4.327731092436975,571.200000000002
4.411764705882353,642.6000000000025
4.495798319327731,487.8999999999967
4.57983193277311,535.5000000000017
4.663865546218488,487.9000000000015
4.747899159663866,464.09999999999684
4.831932773109244,416.5000000000013
4.915966386554622,487.9000000000015
5.0,559.299999999996
5.084033613445379,535.5000000000017
5.168067226890757,559.3000000000019
5.252100840336135,487.8999999999967
5.336134453781513,452.2000000000014
5.420168067226891,333.20000000000107
5.504201680672269,428.3999999999971
5.588235294117648,368.90000000000117
5.6722689075630255,535.5000000000017
5.756302521008404,345.09999999999764
5.840336134453782,392.70000000000124
5.92436974789916,511.7000000000016
6.008403361344538,368.8999999999975
6.0924369747899165,404.6000000000013
6.176470588235294,297.50000000000097
6.260504201680673,345.09999999999764
6.344537815126051,345.1000000000011
6.428571428571429,261.80000000000086
6.512605042016807,309.3999999999979
6.596638655462185,249.90000000000083
6.680672268907564,237.99999999999838
6.764705882352942,238.0000000000008
6.84873949579832,380.8000000000012
6.932773109243698,333.1999999999977
7.0168067226890765,178.50000000000063
7.100840336134454,309.400000000001
7.184873949579833,333.1999999999977
7.268907563025211,238.0000000000008
7.352941176470589,214.20000000000073
7.436974789915967,154.69999999999894
7.521008403361345,261.80000000000086
7.605042016806723,166.6000000000006
7.689075630252102,249.8999999999983
7.77310924369748,202.3000000000007
7.857142857142858,202.3000000000007
7.9411764705882355,237.99999999999838
8.025210084033613,166.60000000000235
8.109243697478991,142.79999999999748
8.19327731092437,238.0000000000008
8.277310924369749,166.6000000000006
8.361344537815127,214.20000000000073
8.445378151260504,190.40000000000066
8.529411764705884,130.8999999999977
8.613445378151262,166.6000000000006
8.69747899159664,154.70000000000056
8.781512605042018,119.00000000000045
8.865546218487395,119.00000000000045
8.949579831932773,95.20000000000036
9.033613445378151,118.99999999999791
9.11764705882353,71.40000000000026
9.201680672268909,71.40000000000026
9.285714285714286,107.1000000000004
9.369747899159664,47.60000000000017
9.453781512605042,107.1000000000004
9.537815126050422,47.59999999999916
9.6218487394958,23.800000000000086
9.705882352941178,0.0
9.789915966386555,23.800000000000086
9.873949579831933,0.0
9.957983193277311,0.0
