Time (Months),Probability
0.04201680672268908,1094.799999999999
0.12605042016806722,987.6999999999987
0.21008403361344538,832.999999999999
0.29411764705882354,963.8999999999986
0.3781512605042017,821.0999999999989
0.46218487394957986,1047.2
0.546218487394958,951.9999999999986
0.6302521008403361,737.799999999999
0.7142857142857144,880.5999999999988
0.7983193277310925,785.399999999999
0.8823529411764707,1071.0000000000002
0.9663865546218487,928.2000000000002
1.050420168067227,904.3999999999984
1.134453781512605,880.6000000000003
1.2184873949579833,856.7999999999985
1.3025210084033616,702.1000000000006
1.3865546218487395,1059.1000000000001
1.4705882352941178,654.4999999999989
1.554621848739496,678.3000000000006
1.6386554621848741,785.3999999999986
1.7226890756302522,856.8000000000003
1.8067226890756305,844.9000000000003
1.8907563025210086,690.1999999999988
1.9747899159663866,761.6000000000034
2.0588235294117645,737.7999999999987
2.1428571428571432,868.6999999999985
2.226890756302521,892.4999999999984
2.3109243697478994,702.100000000003
2.3949579831932777,749.6999999999987
2.4789915966386555,880.5999999999984
2.563025210084034,714.0000000000031
2.647058823529412,737.7999999999987
2.73109243697479,868.6999999999985
2.8151260504201683,725.9000000000032
2.8991596638655466,737.7999999999987
2.9831932773109244,511.6999999999991
3.0672268907563027,642.6000000000025
3.151260504201681,761.5999999999987
3.235294117647059,606.899999999999
3.3193277310924376,713.9999999999987
3.4033613445378155,654.5000000000026
3.4873949579831933,630.6999999999989
3.571428571428572,511.6999999999991
3.65546218487395,583.1000000000021
3.7394957983193278,678.2999999999988
3.8235294117647065,773.4999999999986
3.9075630252100844,595.0000000000022
3.991596638655462,654.5000000000026
4.07563025210084,713.9999999999942
4.159663865546219,583.1000000000021
4.2436974789915975,713.9999999999942
4.327731092436975,487.9000000000015
4.411764705882353,606.9000000000023
4.495798319327731,690.1999999999945
4.57983193277311,642.6000000000025
4.663865546218488,583.1000000000021
4.747899159663866,464.09999999999684
4.831932773109244,535.5000000000017
4.915966386554622,464.10000000000144
5.0,547.3999999999961
5.084033613445379,714.0000000000031
5.168067226890757,571.200000000002
5.252100840336135,428.3999999999971
5.336134453781513,440.3000000000014
5.420168067226891,642.6000000000025
5.504201680672269,392.6999999999973
5.588235294117648,547.4000000000018
5.6722689075630255,440.3000000000014
5.756302521008404,356.99999999999756
5.840336134453782,345.1000000000011
5.92436974789916,380.8000000000012
6.008403361344538,380.7999999999974
6.0924369747899165,333.20000000000107
6.176470588235294,511.7000000000016
6.260504201680673,297.49999999999795
6.344537815126051,404.6000000000013
6.428571428571429,428.40000000000134
6.512605042016807,345.09999999999764
6.596638655462185,321.30000000000103
6.680672268907564,333.1999999999977
6.764705882352942,333.20000000000107
6.84873949579832,238.0000000000008
6.932773109243698,309.3999999999979
7.0168067226890765,285.60000000000093
7.100840336134454,297.50000000000097
7.184873949579833,202.29999999999862
7.268907563025211,309.400000000001
7.352941176470589,202.3000000000007
7.436974789915967,202.29999999999862
7.521008403361345,226.10000000000076
7.605042016806723,321.30000000000103
7.689075630252102,190.3999999999987
7.77310924369748,178.50000000000063
7.857142857142858,154.70000000000056
7.9411764705882355,166.59999999999886
8.025210084033613,166.60000000000235
8.109243697478991,166.59999999999704
8.19327731092437,226.10000000000076
8.277310924369749,142.80000000000052
8.361344537815127,238.0000000000008
8.445378151260504,154.70000000000056
8.529411764705884,142.79999999999748
8.613445378151262,119.00000000000045
8.69747899159664,142.80000000000052
8.781512605042018,142.80000000000052
8.865546218487395,142.80000000000052
8.949579831932773,119.00000000000045
9.033613445378151,130.8999999999977
9.11764705882353,83.30000000000031
9.201680672268909,83.30000000000031
9.285714285714286,47.60000000000017
9.369747899159664,71.40000000000026
9.453781512605042,35.70000000000013
9.537815126050422,35.69999999999937
9.6218487394958,59.50000000000021
9.705882352941178,47.60000000000017
9.789915966386555,23.800000000000086
9.873949579831933,0.0
9.957983193277311,0.0
