Sec_Id,Pool_Cutoff_Date,LESL1,LESL6,LESL3,LESL2,LESL5,LESL4,LESL7,LESL8,LESL10,LESL11,LESL12,LESL14,LESL15,LESL13,LESL16,LESL17,LESL17_CURRENCY,LESL21,LESL25,LESL20,LESL19,LESL22,LESL23,LESL24,LESL28,LESL28_CURRENCY,LESL29,LESL27,LESL27_CURRENCY,LESL32,LESL33,LESL34,LESL31,LESL50,LESL50_CURRENCY,LESL36,LESL37,LESL38,LESL39,LESL40,LESL41,LESL42,LESL71,LESL65,LESL66,LESL67,LESL68,LESL69,LESL72,LESL72_CURRENCY,LESL70,LESL70_CURRENCY,LESL73,LESL74,LESL30,LESL30_CURRENCY,LESL78,LESL52,LESL52_CURRENCY,LESL75,LESL75_CURRENCY,LESL76,LESL77,LESL51,LESL51_CURRENCY,LESL64,LESL64_CURRENCY,LESL57,LESL9,LESL53,LESL43,LESL35,LESL35_CURRENCY,LESL54,LESL55,LESL55_CURRENCY,LESL56,LESL60,LESL58,LESL59,LESL59_CURRENCY,LESL63,LESL62,LESL62_CURRENCY,LESL61,LESL61_CURRENCY,LESL44,LESL46,LESL46_CURRENCY,LESL47,LESL48,LESL49,LESL49_CURRENCY,LESL45,LESL82,LESL83,LESL84,LESL79,LESL80,LESL81
"213800MG6O4TPZOXMV36N201901","2021-11-30","213800MG6O4TPZOXMV36N201901","2021-11-30","ILSUK_20340014703","ILSUK_20340014703","ILSUK_2030005088","ILSUK_2030005088","ND5","ND5","UKM63","2016","false","CNEO","ND5","RETL","MICE","ND5","","ND5","OTHR","false","FNLS","2015-12-04","2022-12-01","84.00","1872.1200","GBP","ND5","14924.0000","GBP","ND5","MNTH","MNTH","OTHR","ND5","","6.50","ND5","OTHR","ND5","ND5","ND5","ND5","INDV","UKM63","JUNGHEINRICH","DFG316","2015","NEWX","14924.0000","GBP","1492.4000","GBP","OTHR","2015-12-04","ND5","","1","1492.4000","GBP","14924.0000","GBP","OTHR","2015-12-04","0.0000","GBP","0.0000","GBP","PERF","ND5","ND5","40","202.6600","GBP","ND5","0.0000","GBP","0","ND5","ND5","ND5","","ND5","ND5","","ND5","","ND5","ND5","","ND5","ND5","0.0000","GBP","ND5","LBL Data Services B.V.","724500S0P4LZ7F2D3V59","NL","ND5","ND5","ND5"
"213800MG6O4TPZOXMV36N201901","2021-11-30","213800MG6O4TPZOXMV36N201901","2021-11-30","ILSUK_20340016129","ILSUK_20340016129","ILSUK_2030005444","ILSUK_2030005444","ND5","ND5","UKG11","2016","false","CNEO","ND5","RETL","MICE","ND5","","ND5","OTHR","false","FNLS","2016-08-09","2023-08-30","84.00","12230.0200","GBP","ND5","58350.0000","GBP","ND5","MNTH","MNTH","OTHR","ND5","","6.50","ND5","OTHR","ND5","ND5","ND5","ND5","INDV","UKG11","OTHER","Bulmor Dqr 50-12-40","2016","NEWX","58350.0000","GBP","8775.0000","GBP","OTHR","2016-08-09","ND5","","1","8775.0000","GBP","58350.0000","GBP","OTHR","2016-08-09","0.0000","GBP","0.0000","GBP","PERF","ND5","ND5","31","768.3300","GBP","ND5","0.0000","GBP","0","ND5","ND5","ND5","","ND5","ND5","","ND5","","ND5","ND5","","ND5","ND5","0.0000","GBP","ND5","LBL Data Services B.V.","724500S0P4LZ7F2D3V59","NL","ND5","ND5","ND5"
"213800MG6O4TPZOXMV36N201901","2021-11-30","213800MG6O4TPZOXMV36N201901","2021-11-30","ILSUK_20340016285","ILSUK_20340016285","ILSUK_2030002569","ILSUK_2030002569","ND5","ND5","UKM22","2016","false","CNEO","ND5","RETL","LARE","ND5","","ND5","OTHR","false","FNLS","2016-12-23","2023-12-22","84.00","17947.3600","GBP","ND5","70806.5000","GBP","ND5","MNTH","MNTH","OTHR","ND5","","5.00","ND5","OTHR","ND5","ND5","ND5","ND5","INDV","UKM22","OTHER","DQr 50-12-55TV","2016","NEWX","70806.5000","GBP","12645.3800","GBP","OTHR","2016-12-23","ND5","","1","12645.3800","GBP","70806.5000","GBP","OTHR","2016-12-23","0.0000","GBP","0.0000","GBP","PERF","ND5","ND5","28","843.7300","GBP","ND5","0.0000","GBP","0","ND5","ND5","ND5","","ND5","ND5","","ND5","","ND5","ND5","","ND5","ND5","0.0000","GBP","ND5","LBL Data Services B.V.","724500S0P4LZ7F2D3V59","NL","ND5","ND5","ND5"
"213800MG6O4TPZOXMV36N201901","2021-11-30","213800MG6O4TPZOXMV36N201901","2021-11-30","ILSUK_20340016315","ILSUK_20340016315","ILSUK_2030006521","ILSUK_2030006521","ND5","ND5","UKE44","2016","false","CNEO","ND5","RETL","OTHR","ND5","","ND5","OTHR","false","HIRP","2017-03-31","2022-03-31","60.00","743.5800","GBP","ND5","13372.0000","GBP","ND5","MNTH","MNTH","OTHR","ND5","","5.00","ND5","OTHR","ND5","ND5","ND5","ND5","INDV","UKE44","TOYOTA","7FBEST15","2016","NEWX","13372.0000","GBP","0.0000","GBP","OTHR","2017-03-31","ND5","","1","0.0000","GBP","13372.0000","GBP","OTHR","2017-03-31","249.8300","GBP","0.0000","GBP","PERF","ND5","ND5","24","249.8300","GBP","ND5","0.0000","GBP","0","ND5","ND5","ND5","","ND5","ND5","","ND5","","ND5","ND5","","ND5","ND5","0.0000","GBP","ND5","LBL Data Services B.V.","724500S0P4LZ7F2D3V59","NL","ND5","ND5","ND5"
"213800MG6O4TPZOXMV36N201901","2021-11-30","213800MG6O4TPZOXMV36N201901","2021-11-30","ILSUK_20340017435","ILSUK_20340017435","ILSUK_2030006297","ILSUK_2030006297","ND5","2021-11-30","UKG37","2016","false","CNEO","ND5","RETL","LARE","ND5","","ND5","OTHR","false","FNLS","2017-03-03","2022-03-03","60.00","1265.6000","GBP","ND5","12000.0000","GBP","ND5","MNTH","MNTH","OTHR","ND5","","6.00","ND5","OTHR","ND5","ND5","ND5","ND5","INDV","UKG37","LINDE","N20VI","2008","NEWX","12000.0000","GBP","600.0000","GBP","OTHR","2017-03-03","ND5","","2","600.0000","GBP","12000.0000","GBP","OTHR","2017-03-03","0.0000","GBP","0.0000","GBP","ARRE","ND5","ND5","25","222.2200","GBP","ND5","617.1600","GBP","275","ND5","ND5","ND5","","ND5","ND5","","ND5","","ND5","ND5","","ND5","ND5","0.0000","GBP","ND5","LBL Data Services B.V.","724500S0P4LZ7F2D3V59","NL","ND5","ND5","ND5"
"213800MG6O4TPZOXMV36N201901","2021-11-30","213800MG6O4TPZOXMV36N201901","2021-11-30","ILSUK_20340018474","ILSUK_20340018474","ILSUK_2030002569","ILSUK_2030002569","ND5","ND5","UKM22","2016","false","CNEO","ND5","RETL","LARE","ND5","","ND5","OTHR","false","FNLS","2016-12-23","2023-12-22","84.00","33252.0600","GBP","ND5","129800.0000","GBP","ND5","MNTH","MNTH","OTHR","ND5","","5.00","ND5","OTHR","ND5","ND5","ND5","ND5","INDV","UKM22","OTHER","Lancer LQr 50-12-45 D","2016","NEWX","129800.0000","GBP","22549.3900","GBP","OTHR","2016-12-23","ND5","","2","22549.3900","GBP","129800.0000","GBP","OTHR","2016-12-23","0.0000","GBP","0.0000","GBP","PERF","ND5","ND5","28","1552.8200","GBP","ND5","0.0000","GBP","0","ND5","ND5","ND5","","ND5","ND5","","ND5","","ND5","ND5","","ND5","ND5","0.0000","GBP","ND5","LBL Data Services B.V.","724500S0P4LZ7F2D3V59","NL","ND5","ND5","ND5"
"213800MG6O4TPZOXMV36N201901","2021-11-30","213800MG6O4TPZOXMV36N201901","2021-11-30","ILSUK_20340018504","ILSUK_20340018504","ILSUK_2030002569","ILSUK_2030002569","ND5","ND5","UKM22","2016","false","CNEO","ND5","RETL","LARE","ND5","","ND5","OTHR","false","FNLS","2016-12-23","2023-12-22","84.00","32704.1600","GBP","ND5","126859.0000","GBP","ND5","MNTH","MNTH","OTHR","ND5","","5.00","ND5","OTHR","ND5","ND5","ND5","ND5","INDV","UKM22","OTHER","DQr50-12-45D","2016","NEWX","126859.0000","GBP","21392.5200","GBP","OTHR","2016-12-23","ND5","","2","21392.5200","GBP","126859.0000","GBP","OTHR","2016-12-23","0.0000","GBP","0.0000","GBP","PERF","ND5","ND5","28","1523.9000","GBP","ND5","0.0000","GBP","0","ND5","ND5","ND5","","ND5","ND5","","ND5","","ND5","ND5","","ND5","ND5","0.0000","GBP","ND5","LBL Data Services B.V.","724500S0P4LZ7F2D3V59","NL","ND5","ND5","ND5"
"213800MG6O4TPZOXMV36N201901","2021-11-30","213800MG6O4TPZOXMV36N201901","2021-11-30","ILSUK_20340018512","ILSUK_20340018512","ILSUK_2030002569","ILSUK_2030002569","ND5","ND5","UKM22","2016","false","CNEO","ND5","RETL","LARE","ND5","","ND5","OTHR","false","FNLS","2016-12-23","2023-12-22","84.00","32529.6400","GBP","ND5","126859.0800","GBP","ND5","MNTH","MNTH","OTHR","ND5","","5.00","ND5","OTHR","ND5","ND5","ND5","ND5","INDV","UKM22","OTHER","Lancer LQr 50-12-45","2016","NEWX","126859.0800","GBP","21392.5200","GBP","OTHR","2016-12-23","ND5","","2","21392.5200","GBP","126859.0800","GBP","OTHR","2016-12-23","0.0000","GBP","0.0000","GBP","PERF","ND5","ND5","28","1523.9000","GBP","ND5","0.0000","GBP","0","ND5","ND5","ND5","","ND5","ND5","","ND5","","ND5","ND5","","ND5","ND5","0.0000","GBP","ND5","LBL Data Services B.V.","724500S0P4LZ7F2D3V59","NL","ND5","ND5","ND5"
"213800MG6O4TPZOXMV36N201901","2021-11-30","213800MG6O4TPZOXMV36N201901","2021-11-30","ILSUK_20340018598","ILSUK_20340018598","ILSUK_2030002569","ILSUK_2030002569","ND5","ND5","UKM22","2016","false","CNEO","ND5","RETL","LARE","ND5","","ND5","OTHR","false","FNLS","2016-12-23","2023-12-22","84.00","17175.3700","GBP","ND5","67775.9600","GBP","ND5","MNTH","MNTH","OTHR","ND5","","5.00","ND5","OTHR","ND5","ND5","ND5","ND5","INDV","UKM22","OTHER","Lancer LQr 50-12-55V","2016","NEWX","67775.9600","GBP","12104.2300","GBP","OTHR","2016-12-23","ND5","","1","12104.2300","GBP","67775.9600","GBP","OTHR","2016-12-23","0.0000","GBP","0.0000","GBP","PERF","ND5","ND5","28","807.6200","GBP","ND5","0.0000","GBP","0","ND5","ND5","ND5","","ND5","ND5","","ND5","","ND5","ND5","","ND5","ND5","0.0000","GBP","ND5","LBL Data Services B.V.","724500S0P4LZ7F2D3V59","NL","ND5","ND5","ND5"
"213800MG6O4TPZOXMV36N201901","2021-11-30","213800MG6O4TPZOXMV36N201901","2021-11-30","ILSUK_20340018601","ILSUK_20340018601","ILSUK_2030002569","ILSUK_2030002569","ND5","ND5","UKM22","2016","false","CNEO","ND5","RETL","LARE","ND5","","ND5","OTHR","false","FNLS","2017-04-03","2024-03-30","83.00","19260.7800","GBP","ND5","67775.6800","GBP","ND5","MNTH","MNTH","OTHR","ND5","","4.50","ND5","OTHR","ND5","ND5","ND5","ND5","INDV","UKM22","OTHER","Lancer DQr 50-12-55V","2016","NEWX","67775.6800","GBP","12011.0500","GBP","OTHR","2017-04-03","ND5","","1","12011.0500","GBP","67775.6800","GBP","OTHR","2017-04-03","0.0000","GBP","0.0000","GBP","PERF","ND5","ND5","24","801.4000","GBP","ND5","0.0000","GBP","0","ND5","ND5","ND5","","ND5","ND5","","ND5","","ND5","ND5","","ND5","ND5","0.0000","GBP","ND5","LBL Data Services B.V.","724500S0P4LZ7F2D3V59","NL","ND5","ND5","ND5"
